continent,country,dataset_name,provider,coverage,source_type,label_or_geometry,confirmed_pv_presence_label,scale_or_record_count,license_or_access,recommended_earthpv_use,priority,source_url,last_updated,notes
Asia,Japan,FIT/FIP Public Project-Level Accredited Renewable Energy Information,"Agency for Natural Resources and Energy, METI",All prefectures; separate downloadable file per prefecture,Official project registry,Project records with facility/site land-parcel information; representative and all-parcel sheets,Yes for accredited projects; operational status must be checked,Monthly national publication split by prefecture; solar installations below 20 kW are excluded,Public download; Japanese government terms apply,Silver labels for larger commercial/industrial rooftops after parcel geocoding/building matching; validation of larger rooftop systems,A-,https://www.fit-portal.go.jp/publicinfo,2026-08-14 (data as of 2026-07-31),"As of 31 Jul 2026. Excludes solar <20 kW, so it is not suitable as a complete residential rooftop registry."
Asia,Jordan,Rural Electrification Fund Solar-PV Beneficiary Lists,Jordan Ministry of Energy and Mineral Resources,National; rural communities and beneficiary homes/sites,Official administrative beneficiary data,Monthly approved beneficiary/project lists covering conventional grid connections and solar-PV systems,Partial; solar beneficiaries must be separated from conventional-grid projects,Monthly lists; e.g. 293 homes/sites approved in Jun 2026 through grid and PV systems combined,Public government project/news listings; detailed machine-readable beneficiary export not verified,Partnership/administrative positive source for rural household PV; geocode beneficiary locations if detailed lists can be obtained,B,https://www.memr.gov.jo/En/NewsDetails/2026070201,2026-07-02,Use only records explicitly marked solar PV; public announcements mix grid-extension and PV beneficiaries.
Asia,Kazakhstan,Almaty Rooftop Solar Potential Mapping,NEO / World Bank energydata.info,Almaty sample area,Building/roof context dataset,Building footprint polygons + rooftop attributes,No,Individual-building structure level,CC0 1.0,Central Asian roof-domain training context and negative sampling,B+,https://energydata.info/dataset/almaty-rooftop-solar-potential-mapping,2022-04-15,Useful geographical diversification.
Asia,Lebanon,Beirut Rooftop Solar Potential Mapping,NEO / World Bank EnergyData.info,Beirut sample area,Building/roof context dataset,"Individual building footprints with total/suitable roof area, installable capacity, annual generation and building type",No; roof potential only,Building-level vector and attribute datasets derived from 0.5 m stereo imagery,CC0 1.0,"Roof universe, sampling frame and hard-negative/context generation; useful for dense Middle Eastern urban morphology",A-,https://energydata.info/dataset/beirut-rooftop-solar-potential-mapping,2022-04-15,"Do not label buildings as PV-positive; dataset indicates potential, not installed systems."
Asia,Malaysia,SEDA NEM 3.0 / Solar ATAP Application Registry,Sustainable Energy Development Authority Malaysia / TNB,Peninsular Malaysia,Administrative registry / partnership target,"Customer/application-linked rooftop PV installation records held in eNEM/eATAP workflows; capacity, approval and commissioning information",Registry exists; project-level bulk export not public,NEM 3.0 approved quotas include hundreds of MW; Solar ATAP applications accepted from 1 Jan 2026 after installation/commissioning,Administrative systems; no public installation-level bulk export located—requires SEDA/TNB data partnership and privacy-safe extract,Potentially excellent Silver rooftop labels if anonymized/geocoded addresses or building IDs can be obtained,B+,https://www.seda.gov.my/reportal/atap/,2026 (current Solar ATAP portal; exact page update date not stated),Solar ATAP explicitly targets rooftop space and applications are submitted after installation work is completed and commissioned.
Asia,Nepal,Nepal Multi-Tier Framework – Household Solar Based Device Microdata,World Bank ESMAP / Nepal Multi-Tier Framework survey,"National Nepal; household IDs encode eco-region, province, district and enumeration area",Household survey / contextual prevalence dataset,Household-level solar-device ownership/use attributes; no public rooftop geometry,Survey response; device type must be filtered to relevant PV systems,"6,001 household cases in the solar-based-device module",World Bank/IHSN microdata access; follow survey terms and disclosure controls,Administrative-domain prevalence prior and survey validation; not suitable as direct roof labels without geocoded household access,C+,https://datacatalog.ihsn.org/catalog/8412/data-dictionary/F19?file_name=C_SolarBasedDevice,2021-10-22,Useful mainly to identify regions with off-grid household solar; location precision is intentionally limited for confidentiality.
Asia,Pakistan,Karachi Rooftop Solar Potential Mapping,NEO / World Bank energydata.info,Karachi sample area,Building/roof context dataset,Building footprint polygons + suitable area/capacity/building type,No,Individual-building structure level,CC0 1.0,"Roof masks, sampling, potential-to-detection comparison",A-,https://energydata.info/dataset/karachi-rooftop-solar-potential-mapping,2022-04-15,Strong urban South Asian roof-domain data.
Asia,Philippines,TM Open Buildings,Thinking Machines / Lacuna Fund,Selected 250m tiles in 12 Philippine cities,Building/roof context training dataset,"Manually drawn buildings with roof material, roof layout, settlement attributes",No,Manual building polygons across 12 cities,ODbL 1.0 / Database Contents License,Excellent roof-material/domain labels and negative sampling for roofclf,A,https://github.com/thinkingmachines/ph-open-buildings,2024-03 (upload revisions),Particularly valuable for metal-sheet vs concrete/tile roof domain shift.
Asia,Philippines,ERC Net-Metering / DER Statistics,Philippines Energy Regulatory Commission,National / regional,Official registry statistics,Counts and MWp of net-metering prosumers and DER,Aggregate; underlying records may exist at utilities/ERC,"23,684 net-metering prosumers and 232 MWp as of 30 Jun 2026",Public official statistics; granular records may require FOI/request,Calibration and partnership lead for installation-level silver labels,B+,https://www.erc.gov.ph/Press-Singular/85121,2026-03-31 (latest net-metering dataset identified),FOI portal also contains approved requests for net-metering/own-use data.
Asia,Philippines,Manila Rooftop Solar Potential Mapping,NEO / World Bank energydata.info,Manila sample area,Building/roof context dataset,Building footprint polygons + suitable area/capacity/building type,No,Individual-building structure level,CC0 1.0,Roof masks and candidate frame for Manila localization,A-,https://energydata.info/dataset/manila-rooftop-solar-potential-mapping,2022-04-15,0.5 m stereo-imagery-derived roof data.
Asia,Singapore,Solar PV Installations by URA Planning Region,Energy Market Authority / data.gov.sg,"Singapore, URA planning regions",Official registry statistics,Counts and installed capacity split residential/non-residential,Aggregate,"140-row CSV, 2008–Q1 2021 series",Singapore Open Data Licence,Fine-grained regional calibration and urban-domain validation,B,https://data.gov.sg/datasets/d_cd4f91f7a1ebb2b7ceb1a70c0dbb706d/view,2024-06-06,More recent statistics may be available from EMA; dataset is not building-level.
Asia,South Korea,Nationwide Solar Power Generation Electrical Business Permit Standard Data,Korean local governments / Public Data Portal,National South Korea,Official installation/permit registry,"Facility name, road/parcel address, latitude, longitude, detailed installation-location classification, operating status, capacity and installation area","Yes, administrative; filter operating status and rooftop/building placement",Nationwide standard dataset compiled from local-government permits; annual update,Korean Public Data Portal; attribution license (저작자표시),"Excellent Silver labels: filter operational systems and building/roof installation classes, then spatially join to building footprints",A+,https://www.data.go.kr/data/15107742/openapi.do,2024-09-25,One of the strongest administrative sources because it contains coordinates plus detailed installation-location and operating-status fields.
Asia,South Korea,Dongducheon Solar Power Facility Status,Dongducheon City / Korean Public Data Portal,"Dongducheon, Gyeonggi-do",Municipal installation/permit registry,"Plant name, road/parcel addresses, latitude/longitude, installation location, capacity and permit date","Yes, administrative; use installation-location field to select buildings/roofs",Municipal file; current registration dated Dec 2025,Public Data Portal open file; check dataset-specific use terms,High-quality city-level Silver labels and a benchmark for validating the nationwide standard-data ingestion,A,https://www.data.go.kr/data/15095630/fileData.do?recommendDataYn=Y,2025-12-24,Installation-location values such as building/land/mountain are especially useful for separating rooftop from ground-mounted PV.
Asia,South Korea,Changnyeong-gun Solar Power Plant Status,Changnyeong-gun / Korean Public Data Portal,"Changnyeong-gun, Gyeongsangnam-do",County installation/permit registry,"Plant name, address, capacity, installation location, permit date and business commencement date",Administrative; rooftop not guaranteed,Annual county-level registry; updated 11 May 2026,Public Data Portal open file; check dataset-specific use terms,Subnational Silver candidate pool; combine operational/business-start date and installation location with building matching,B+,https://www.data.go.kr/en/data/15043380/fileData.do,2026-05-11,Some rows may have missing installation-location values; verify against imagery before treating as rooftop labels.
Asia,South Korea,Gyeongsangbuk-do Solar Power Project Administrative Data,Gyeongsangbuk-do / Korean Public Data Portal,Gyeongsangbuk-do Province,Provincial installation/permit registry,"Project location, permit date, facility capacity and installation area",Administrative; rooftop not guaranteed,272 rows in the 2026 portal release,Public Data Portal open file; check dataset-specific use terms,Provincial Silver candidates; useful for testing address geocoding and roof-vs-ground filtering,B+,https://www.data.go.kr/en/data/15138623/fileData.do,2026-02-03,The portal describes the file as administrative processing data for solar projects in Gyeongsangbuk-do.
Asia,South Korea,Sinan-gun Solar Power Installation Status,Sinan-gun / Korean Public Data Portal,"Sinan-gun, South Jeolla Province",County installation/permit registry,"Plant name, permitted capacity, permit date, commercial-operation date and installation location",Administrative; rooftop not guaranteed,"2,082 CSV rows reported in portal metadata",Public Data Portal open file; check dataset-specific use terms,Silver positive candidates after building/address matching and rooftop/ground verification; rural/coastal domain adaptation,B+,https://www.data.go.kr/en/data/15033936/fileData.do,2026-02-26,Do not treat all records as rooftop PV; use installation location and imagery verification.
Asia,Sri Lanka,Colombo Rooftop Solar Potential Mapping,NEO / World Bank energydata.info,Colombo city center,Building/roof context dataset,"Building polygons; area, suitable area, capacity, height, roof angle/type",No,Individual-building structure level,CC0 1.0,"Roof masks, negative sampling, candidate prioritization",B+,https://energydata.info/dataset/colombo-rooftop-solar-potential-mapping,2022-04-15,Good South Asian roof morphology coverage.
Asia,Taiwan,Approved Records of Solar PV Equipment by Year and County/City,"Ministry of Economic Affairs, Taiwan",Taiwan counties/cities,Official registry statistics,Annual county/city counts and approved PV installation filings,Aggregate,County/city time series; updated annually,Open Government Data License v1.0,"Regional calibration, adoption priors, target-area selection",B+,https://data.gov.tw/en/datasets/16423,2026-06-23,"Not building-level, but open CSV and regularly updated."
Asia,Thailand,Thailand PV Status - Grid-Connected Solar,DEDE / OERC / PEA / MEA,Thailand,Official registry/statistics,Project counts and installed capacity by rooftop/ground/floating and PPA status,Aggregate,"2023: 6,753 rooftop systems without PPA totaling 1,581.19 MW; other categories also reported",Public government statistics page,Calibration; rooftop/ground ratio priors; discrepancy checks,B+,https://pvstatus.dede.go.th/en/section_1-3.php,2023 (latest statistics shown),Not building-level but unusually useful categorical rooftop statistics.
Asia,Thailand,PEA Renewable Generator / Solar Rooftop Management Portal (PPIM),Provincial Electricity Authority,PEA service territory,Administrative application/registry portal,Project/application records for rooftop solar programs,Potentially installation-level,Portal supports rooftop projects and generator interconnection workflows,Public-facing portal; bulk-download/open license not established,High-value data partnership target for silver installation labels,A (partnership),https://ppim.pea.co.th/app/v1,2026 (live PPIM portal; 2026 rooftop project notices),Investigate API/export and commissioning-status fields with PEA.
Asia,Thailand,Village Rooftop Solar Panel Dataset,Academic dataset described in IEEE Access 2025,Thai village locations,Direct training dataset described in paper,Solar-array shapefiles converted to raster masks,Yes,"30 one-km² tiles; 1,653 labelled solar panel arrays; 10 cm imagery",Paper is CC BY-NC-ND 4.0; public dataset download not verified; imagery from Google satellite via QGIS,Potentially excellent Thailand-specific segmentation labels if authors can share usable labels,A (access dependent),https://www.researchgate.net/publication/388470132_Automatic_Estimation_of_Solar_Rooftops_and_Power_Generation_from_Publicly_Available_Satellite_Imagery_through_Georeferencing_and_Large-scale_Support,2025-01 (publication),Audit imagery and derivative-label rights before ingestion.
Asia,United Arab Emirates,DEWA Shams Dubai / D33 Distributed Solar Connection Records,Dubai Electricity and Water Authority,Dubai Emirate,Administrative registry / partnership target,"Grid-connection, design approval, inspection and monitoring records for building/onsite PV",Registry exists; public bulk installation export not located,Program has connected rooftop/building PV since 2015; DEWA also operates GIS/real-time monitoring systems,Administrative records; public program documentation only—requires DEWA partnership for installation-level extract,High-value city-scale Silver labels for arid/high-reflectance urban roofs if privacy-safe coordinates/building IDs can be accessed,B+,https://dewa.gov.ae/en/consumer/solar-community/shams-dubai,2023-12-30,Shams Dubai explicitly connects PV on household/building roofs; D33 extends onsite solar to eligible industrial sites.
Asia,Uzbekistan,Samarkand Rooftop Solar Potential Mapping,NEO / World Bank energydata.info,Samarkand sample area,Building/roof context dataset,Building footprint polygons + rooftop attributes,No,Individual-building structure level,CC0 1.0,Central Asian roof-domain training context and sampling,B+,https://energydata.info/dataset/samarkand-rooftop-solar-potential-mapping,2022-04-15,Useful for arid continental roof materials and urban form.
Asia,Vietnam,Vietnam Municipal Rooftop Solar Mapping Potential,World Bank Group / energydata.info,Ho Chi Minh City and Da Nang,Building/roof context dataset,Building rooftop footprint polygons + installable capacity / generation,No,Municipal building level,CC BY 4.0,"Roof masks, sampling frame, local roof morphology adaptation",A-,https://energydata.info/dataset/dashboard/vietnam-municipal-rooftop-solar-mapping-potential,2025-11-24,Useful but does not indicate actual PV presence.
Europe,Denmark,SolarDK,Technical University of Denmark / SolarDK authors,Denmark,Direct training dataset + registry-derived weak labels,"Hand-labeled PV classification images, segmentation masks and BBR-derived candidate positives",Yes for hand labels; registry-derived set is weak/silver supervision,"23,417 hand-labeled classification images; 880 segmentation masks; 100,000+ registry-derived images",Research dataset; verify dataset and GeoDanmark imagery terms before redistribution,Gold Danish roof-PV labels plus silver registry-derived scaling; strong template for EarthPV country localization,A+,https://backend.orbit.dtu.dk/ws/portalfiles/portal/338834163/solardk_paper.pdf,2022 (paper/preprint release; source imagery acquired 2021),Demonstrates the same pattern proposed for EarthPV: a clean human-labeled seed set plus a much larger registry-derived weak-label pool.
Europe,Denmark,BBR Building and Dwelling Register - PV Technical Installations,Danish Building and Dwelling Register (BBR),Denmark,Official building registry / administrative weak-label source,Building/property records with technical-installation information that can identify solar/PV candidates,Administrative presence indicator; verify against imagery for gold use,"National building register; SolarDK derived 100,000+ candidate images from registry information",Registry/open-data access subject to Danish BBR/Datafordeler terms,Large Silver/weak-label candidate pool linked directly to buildings; proven by SolarDK workflow,A,https://bbr.dk/,Live national registry; checked 2026-09-13,Use in combination with exhaustive manual subsets because administrative records can lag or encode system type imperfectly.
Europe,France,Rooftop PV Detections from Aerial Imagery over France,Gabriel Kasmi,Continental France; regional files also provided,Model-derived rooftop-PV inventory / pseudo-label dataset,"Detected rooftop-PV polygons with area, estimated kWp, annual yield and imagery year",No; model detections should be treated as Bronze/pseudo-labels until verified,"460,755 detections; ~2.319 GWp aggregate estimated capacity",Public Zenodo dataset; verify exact license before redistribution,Large Bronze pseudo-label pool for active learning and sampling; verify subsets before retraining,A,https://zenodo.org/records/19188878,2026-06-15 (Zenodo modified),"Strong candidate generator for French localization, but do not promote all detections to gold labels automatically."
Europe,France & Belgium,BDAPPV,Kasmi et al.,France and Belgium,Direct training dataset,Rooftop-PV segmentation masks plus installation metadata; Google and IGN aerial-image variants,Yes,"45,733 image rows; Google: 28,408 images / 13,303 positive masks; IGN: 17,325 images / 7,685 masks",Masks/annotations/metadata CC BY 4.0; IGN imagery Etalab Open Licence 2.0; Google imagery subject to Google/third-party terms,Gold segmentation training; installation metadata supervision; imagery-domain-shift experiments,A+,https://huggingface.co/datasets/gabrielkasmi/bdappv,2023 (paper); repository checked 2026-09-13,"For redistribution/commercial workflows, prefer the IGN configuration because Google imagery has additional restrictions."
Europe,Germany,Marktstammdatenregister (MaStR),Bundesnetzagentur,Germany,Official national installation registry,Registered energy units with technical and location attributes; public XML export,Yes for registered installations,National comprehensive registry; daily public full export,Datenlizenz Deutschland - Namensnennung - Version 2.0,National validation/completeness benchmark; silver positives where location can be resolved to buildings; capacity/date calibration,A+,https://www.marktstammdatenregister.de/MaStR/Datendownload,Daily; page showed 2026-09-10 public export when checked 2026-09-13,EarthPV already used MaStR to quantify OSM completeness in Germany. Registration coverage is far stronger than OSM.
Europe,Germany,RID - Roof Information Dataset,Technical University of Munich / open.bydata,Southern Germany,Direct roof-context training dataset,"Semantic labels for roof segments and roof superstructures including pvmodule, dormer, window, chimney, shadow and tree",Yes for pvmodule class,"1,880 annotated buildings / roof-centered images",Public German open-data catalog; verify resource-specific terms,Hard negatives and roof-context supervision for roofclf; auxiliary roof segmentation; PV-module positives,A,https://data.gov.de/suche/daten/rid-roof-information-dataset-for-computer-vision-based-photovoltaic-potential-assessment,2026-09-01 (dataset metadata),Particularly valuable for modeling rooftop confusers rather than only positive PV objects.
Europe,Germany,Solar Panels in Very High Resolution Satellite Imagery,Research dataset / Southern Germany study authors,Southern Germany,Direct training dataset,Annotated PV panels in 31-cm and 15.5-cm Maxar satellite imagery,Yes,"2,542 annotated solar panels",Labels described in publication; Maxar imagery rights/reuse must be handled separately,Satellite-domain rooftop-PV benchmark; high-resolution cross-sensor domain adaptation,B+,https://pmc.ncbi.nlm.nih.gov/articles/PMC10509230/,2023 (publication),Useful because the source imagery is satellite rather than aerial; check label availability and Maxar terms independently.
Europe,Netherlands,Annotated High-Resolution Aerial Imagery of the Dutch Landscape for Solar Panel Detection and Segmentation,Municipality of Emmen / University of Groningen / Gerrit Luimstra,"Emmen, Netherlands",Direct training dataset,7.5-cm true-ortho imagery with solar-panel masks/polygons over exhaustively annotated grid cells,Yes; explicit annotated coverage also supports reliable negatives,"20,618 annotated 30x30 m grid cells over 18.55 km² selected area",Public Zenodo dataset; rights field should be checked before redistribution,Gold rooftop segmentation plus trustworthy negatives; northern-European domain adaptation,A+,https://zenodo.org/records/14860030,2025-05-21 (Zenodo modified),Source orthophotos were captured in 2023; exhaustive grid coverage is unusually valuable for roofclf negative construction.
Europe,Netherlands,PIR/CERES and VertiCer Solar Installation Registers linked to BAG,Statistics Netherlands (CBS) and Dutch energy/guarantee-of-origin registries,Netherlands,Official/restricted installation registries and statistical linkage,Installation records linked by CBS to BAG addresses/buildings for regional PV statistics,Yes at registry level,National; microdata access restricted,Underlying installation microdata are not fully open; CBS access/partnership may be required,High-value partnership source for building-level Silver labels; national calibration and completeness assessment,A,https://www.cbs.nl/nl-nl/onze-diensten/methoden/onderzoeksomschrijvingen/korte-onderzoeksomschrijvingen/productie-van-zonnestroom-op-regionaal-niveau-2018,Methodology page for 2018 statistics; underlying registers are maintained operationally,Worth pursuing as a data partnership because CBS explicitly links solar-installation registers with BAG building/address data.
Europe,Switzerland,Electricity Production Plants,Swiss Federal Office of Energy (SFOE),Switzerland,Official national geospatial plant registry,Geospatial electricity-production plant records including photovoltaic installations; downloadable CSV/GPKG resources,Yes for registered plants,National spatial database; dynamic,Open Swiss government dataset; terms listed on opendata.swiss,"Silver site-level PV positives, national calibration and clean benchmark for registry-to-building matching",A,https://opendata.swiss/en/dataset/elektrizitatsproduktionsanlagen,2026-01-01 (CSV resource modified date),Good benchmark jurisdiction because the registry is spatially explicit and nationally maintained.
Europe,United Kingdom,Harmonised High-Coverage Open Dataset of Solar PV Installations in the UK,Stowell et al. / Scientific Data authors,United Kingdom,Harmonized installation registry / geospatial dataset,"Installation-level CSV points and GeoJSON; OSM geometry where available, address-derived points otherwise",Yes at installation-record level; geometry precision varies by source,"265,417 CSV rows; 265,406 GeoJSON installations",Open research dataset; consult repository/article for component licenses and attribution,"Silver positives, historic validation, address/building matching and registry-vs-OSM completeness analysis",B+,https://www.nature.com/articles/s41597-020-00739-0,2020 (publication),Good example of harmonizing government/industry records with OSM geometry.
North America,Mexico,Distributed Generation Interconnection Statistics / CNE-SENER Records,Mexican energy authorities / CNE-SENER,Mexico,Official permit/interconnection statistics,Municipality/address information for some permitted generators; ordinary distributed-generation PV is largely available as aggregate statistics,Mixed: permits/records confirm systems but public small-DG data are often aggregate,"More than 405,000 distributed-generation contracts reported for 2024; >99% PV in cited government material",Government publications/data; detailed microdata availability varies,National/state/municipal calibration and sampling; pursue utility/CNE interconnection microdata for building-level Silver labels,B,https://dof.gob.mx/nota_detalle_popup.php?codigo=5770297,2024 statistics cited in government publication; checked in initial 2026 scan,Potentially valuable if installation-level interconnection records can be obtained; current public material is more useful for aggregate validation.
North America,United States,Queens PV Labels,"Furedi, Kimsal, Cornejo, Liero, Ranalli et al.","Queens, New York City, New York",Direct training dataset,Manual PV polygons for 2018 15-cm RGB/NIR orthophotography,Yes,"~14,000 polygons representing ~5,500 installations",CC BY 4.0 for dataset/article materials unless otherwise credited,Gold urban rooftop segmentation labels; flat-roof domain adaptation; benchmark for dense urban environments,A+,https://www.nature.com/articles/s41597-025-06523-2,2026-01-06 (paper publication; version of record 2026-02-10),Especially useful for dense urban and large flat-roof systems; source imagery includes RGB+NIR.
North America,United States,Distributed Solar Photovoltaic Array Location and Extent Data Set,Duke University / Bradbury et al.,California; multiple cities/areas,Direct training dataset,Manually delineated distributed-PV array polygons paired with high-resolution aerial imagery,Yes,High-resolution labeled PV polygons; widely used rooftop-PV benchmark,Public Figshare dataset; verify component license/imagery reuse terms before redistribution,Gold rooftop-PV polygon labels; transfer labels onto temporally matched Sentinel-2 chips; segmentation benchmark,A,https://figshare.com/articles/dataset/Distributed_Solar_Photovoltaic_Array_Location_and_Extent_Data_Set_for_Remote_Sensing_Object_Identification/3385780,2020-07-30 (Figshare Version 4),One of the canonical manually labeled rooftop-PV datasets for California.
North America,United States,U.S. Distributed Solar and Storage Data / Tracking the Sun,Lawrence Berkeley National Laboratory,United States,National project-level distributed-solar database,"Project-level distributed-solar records compiled from utilities, agencies, permitting and assessor sources; public non-confidential file",Yes for recorded installed systems,~5.3 million individual systems installed through end-2025,Public data file with non-confidential fields; consult user guide for permitted uses and suppressed location fields,Large registry-based validation and Silver-label matching where location granularity permits; adoption/capacity calibration,A,https://emp.lbl.gov/tracking-the-sun,2026-08 (2026 Update; data through end-2025),Check public location granularity before assuming direct building-level matching is possible nationwide.
North America,United States,DeepSolar-3M,Stanford / DeepSolar-3M authors,United States,Model-derived national PV database / aggregate public release,Predicted distributed-PV system inventory; public outputs include aggregate geographies,No for public aggregate outputs; model-derived,~2.95 million inferred systems reported,Public project/repository; public data described as CC BY 4.0; verify exact downloadable artifact,"Adoption priors, geographic validation and sampling; not a building-level gold training source in its public aggregate form",C,https://github.com/rajanieprabha/DeepSolar-3M,2025 (DeepSolar-3M paper/project release; repository checked 2026-09-13),Use primarily for validation/calibration unless a project-level geospatial release with acceptable terms is available.
South America,Brazil,ANEEL Mini and Micro Distributed Generation Registry (MMGD),Agencia Nacional de Energia Eletrica (ANEEL),Brazil,Official national distributed-generation registry,"Installation records with technology, capacity and approximate geographic coordinates; PV-specific technical resources available",Yes for registered distributed-generation installations,National micro/mini DG registry; large and dynamic,Brazilian public open-data portal; consult dataset terms/version metadata,High-value Silver positives; match PV coordinates to building footprints; national calibration and active-learning candidate generation,A+,https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,2026-09-11; update frequency daily,"One of the strongest administrative label sources for EarthPV because it combines PV type, installed capacity and approximate coordinates."
Oceania,Australia,Small-scale Installation Postcode Data (SRES),Clean Energy Regulator,Australia,Official aggregate installation registry/statistics,Solar PV installation counts and capacity by postcode and installation year,No direct building label; aggregate confirmed installations,National monthly postcode-level files; millions of small-scale systems,Public downloadable CSV/XLSX files from Australian Clean Energy Regulator,"Postcode-level calibration, completeness checks, stratified sampling and detection of under-mapped OSM regions",B+,https://cer.gov.au/markets/reports-and-data/small-scale-installation-postcode-data,2026-07-31 data; page checked 2026-09-13,Do not convert aggregate postcode counts directly into positive labels; use them to assess predicted counts and target manual mapping.
North America,United States,GMSEUS (Ground-Mounted Solar Energy in the United States),Michigan State University / Stid et al.,Continental United States,Direct training/validation dataset,"Array polygons plus 3.43M panel-row polygons, with installed capacity (DC and AC), installation year, mount technology, azimuth, tilt, panel dimensions, inter-row spacing and ground cover ratio",Yes,"18,502 commercial- and utility-scale arrays, 228 GW_DC; 12,446 with panel-row geometry (v2.1, 2025)","MIT; data on Zenodo (doi:10.5281/zenodo.14827818), code doi:10.5281/zenodo.14829529","Gold GROUND-MOUNT polygon labels and the ground-mount recall benchmark this project lacks; above all, an independent measurement of DEFAULT_KWP_PER_M2_LAND, which is currently calibrated on two Pakistani plants",A+,https://github.com/stidjaco/GMSEUS,"2025-09-29 (Scientific Data paper; dataset v2.1, 2025)","Ground-mount ONLY -- rooftop arrays were removed by intersection with OpenBuildingMap -- so it complements rather than replaces the rooftop label sources. Paper doi:10.1038/s41597-025-05862-4. Carries capacity AND array polygon area AND an explicit ground cover ratio, which is exactly the quantity behind the 0.05 kWp/m2 land constant. Author Jake Stid is already listed as a TraceTheSun collaborator on the project's Community page."
Europe,United Kingdom,Renewable Energy Planning Database (REPD),Department for Energy Security and Net Zero,United Kingdom; every renewable electricity project above 150 kW,Official planning and development registry,"Project records carrying x/y coordinates (added February 2021), installed capacity, planning and operational status and, since October 2024, SITE AREA for operational solar projects","Yes for projects at operational status; earlier planning stages are applications, not installations, and must be filtered out","Quarterly extract, CSV and XLSX; Q2 2026 published 3 August 2026",Open Government Licence v3.0,"The capacity-plus-site-area pairing is the rare part. DEFAULT_KWP_PER_M2_LAND (0.05 kWp/m2, CI 0.035-0.075) rests on two Pakistani plants; REPD offers hundreds of UK solar farms with both numbers published, so the land constant can be re-derived on a real sample instead of a pair. Points, so Silver for segmentation labels.",A,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract,2026-09-20,"Verified 2026-09-20: licence and the February 2021 coordinate addition confirmed on the GOV.UK publication page; the October 2024 note says site area was being rolled out from operational solar to other stages, so coverage of that column is partial."
North America,United States,EIA Form 860 Annual Electric Generator Report,U.S. Energy Information Administration,United States; plants of 1 MW or more combined nameplate capacity,Official generator registry,"Plant latitude and longitude in decimal degrees, plus a solar-specific file (3_3_Solar) giving per-generator tilt angle, azimuth angle, mount technology (fixed, single-axis or dual-axis tracking) and DC/AC capacity",Yes for reported solar generators; the 1 MW reporting floor puts sub-MW rooftop entirely out of scope,"Annual, with monthly updates; operable plus retired and cancelled tabs",US Government public domain data,"The tilt and azimuth columns are the reason to care: glint.py's specular-geometry model needs panel pose, and MaStR was previously the only register here known to publish it. Plant points are Silver for labels; use GMSEUS or USPVDB when array geometry is what is wanted.",A-,https://www.eia.gov/electricity/data/eia860/,2026-09-20,"Verified 2026-09-20: the form instructions confirm decimal lat/lon and the solar file's tilt, azimuth and mount-technology fields."
North America,United States,U.S. Large-Scale Solar Photovoltaic Database (USPVDB),USGS and Lawrence Berkeley National Laboratory,"United States; 6,611 facilities of 1 MW or more across 49 states and DC",Direct training/validation dataset,"Hand-digitised array boundary polygons, visually verified against high-resolution aerial imagery to within 10 m, with facility location, capacity and operational year",Yes,"6,611 facilities; latest release USPVDB_V4_0_20260414","Public domain, no restrictions; USGS and LBNL attribution requested","Ground-mount segmentation labels and a second, independent land-constant sample (polygon area against published capacity). Largely upstream of the GMSEUS row already here, which adds panel-row geometry and pose; prefer GMSEUS unless the clean public-domain licence or the USGS versioning matters.",A-,https://energy.usgs.gov/uspvdb/,2026-09-20,Verified 2026-09-20. Overlaps GMSEUS substantially -- check before treating the two as independent samples of anything.
North America,United States,Solar Electric Programs Reported by NYSERDA (Beginning 2000),"NYSERDA, via Open NY",New York State,State installation/interconnection registry,"Project records with latitude, longitude and a georeference field, capacity, sector, county and programme; large-scale projects above 5 MW AC are included",Yes for reported installed projects,"Interconnection-derived, from 2000 onward; CSV download and Socrata API",Open NY public data portal,A rare US sub-national source with per-project coordinates rather than ZIP aggregation. Silver labels after matching points to building footprints; also a municipality-level completeness reference of the kind validate-mastr uses.,A-,https://data.ny.gov/Energy-Environment/Solar-Electric-Programs-Reported-by-NYSERDA-Beginn/3x8r-34rs,2026-09-20,Verified 2026-09-20 via the Open NY dataset listing and the NYSERDA solar-maps page.
North America,United States,CaliforniaDGStats NEM and Rule 21 Interconnection Data,California Distributed Generation Statistics (CPUC),"California; PG&E, SCE and SDG&E service territories, 1982 to present",State interconnection registry,"Interconnected system records with capacity, technology and programme, published at ZIP-code resolution; aggregate geography only",Aggregate: individual systems are confirmed but spatial resolution is deliberately limited to ZIP-code boundaries to protect customer privacy,All Rule 21 interconnected systems in the three IOU territories,Public download under CPUC D.14-11-001,"Per-ZIP calibration and adoption priors, not labels. Note the same privacy cliff MaStR has below 30 kWp: the systems exist in the file, the coordinates do not.",B+,https://www.californiadgstats.ca.gov/downloads/,2026-09-20,"Verified 2026-09-20 and DOWNGRADED from the source list, which recorded coordinates 'Yes' and priority 'Very high'. The published spatial resolution is ZIP code."
